event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e1,Control,navigate,2026-01-01T08:00:00.00,2026-01-01T08:00:29.18,r5,,,
e5,Control,navigate,2026-01-01T08:00:10.00,2026-01-01T08:00:54.65,r3,,,
e9,Control,navigate,2026-01-01T08:00:20.00,2026-01-01T08:02:02.44,r1,,,
e2,Control,position,2026-01-01T08:00:29.18,2026-01-01T08:00:31.41,r5,,,
e3,Control,align_camera,2026-01-01T08:00:31.41,2026-01-01T08:00:33.25,r5,,,
e4,Task,survey_field,2026-01-01T08:00:33.25,2026-01-01T08:00:41.53,r5,m1,,t1
e17,Control,navigate,2026-01-01T08:00:40.00,2026-01-01T08:01:15.24,r7,,,
e13,Control,navigate,2026-01-01T08:00:41.53,2026-01-01T08:01:28.10,r5,,,
e6,Control,position,2026-01-01T08:00:54.65,2026-01-01T08:00:56.80,r3,,,
e7,Control,align_camera,2026-01-01T08:00:56.80,2026-01-01T08:00:58.87,r3,,,
e8,Task,survey_field,2026-01-01T08:00:58.87,2026-01-01T08:01:09.80,r3,m2,,t11
e25,Control,navigate,2026-01-01T08:01:09.80,2026-01-01T08:02:35.24,r3,,,
e18,Control,position,2026-01-01T08:01:15.24,2026-01-01T08:01:17.31,r7,,,
e19,Control,align_camera,2026-01-01T08:01:17.31,2026-01-01T08:01:19.67,r7,,,
e20,Task,survey_field,2026-01-01T08:01:19.67,2026-01-01T08:01:30.98,r7,m5,,t39
e14,Control,position,2026-01-01T08:01:28.10,2026-01-01T08:01:30.13,r5,,,
e15,Control,align_camera,2026-01-01T08:01:30.13,2026-01-01T08:01:31.92,r5,,,
e21,Control,navigate,2026-01-01T08:01:30.98,2026-01-01T08:02:42.20,r7,,,
e16,Task,survey_field,2026-01-01T08:01:31.92,2026-01-01T08:01:40.77,r5,m4,,t30
e37,Control,navigate,2026-01-01T08:01:40.77,2026-01-01T08:02:02.19,r5,,,
e38,Control,position,2026-01-01T08:02:02.19,2026-01-01T08:02:04.59,r5,,,
e10,Control,position,2026-01-01T08:02:02.44,2026-01-01T08:02:04.48,r1,,,
e11,Control,align_camera,2026-01-01T08:02:04.48,2026-01-01T08:02:06.85,r1,,,
e39,Control,align_camera,2026-01-01T08:02:04.59,2026-01-01T08:02:06.60,r5,,,
e40,Task,survey_field,2026-01-01T08:02:06.60,2026-01-01T08:02:16.65,r5,m7,,t58
e12,Task,survey_field,2026-01-01T08:02:06.85,2026-01-01T08:02:14.88,r1,m3,,t20
e29,Control,navigate,2026-01-01T08:02:14.88,2026-01-01T08:03:08.31,r1,,,
e41,Control,navigate,2026-01-01T08:02:16.65,2026-01-01T08:03:44.92,r5,,,
e26,Control,position,2026-01-01T08:02:35.24,2026-01-01T08:02:36.92,r3,,,
e27,Control,align_camera,2026-01-01T08:02:36.92,2026-01-01T08:02:39.09,r3,,,
e28,Task,inspect,2026-01-01T08:02:39.09,2026-01-01T08:02:50.73,r3,m1,m1_s2,t5
e22,Control,position,2026-01-01T08:02:42.20,2026-01-01T08:02:44.04,r7,,,
e23,Control,align_camera,2026-01-01T08:02:44.04,2026-01-01T08:02:46.25,r7,,,
e24,Task,inspect,2026-01-01T08:02:46.25,2026-01-01T08:03:00.52,r7,m1,m1_s1,t2
e145,Control,navigate,2026-01-01T08:02:50.73,2026-01-01T08:03:27.52,r8,,,
e49,Control,navigate,2026-01-01T08:02:50.73,2026-01-01T08:04:18.82,r3,,,
e154,Control,navigate,2026-01-01T08:03:00.52,2026-01-01T08:03:54.28,r2,,,
e45,Control,navigate,2026-01-01T08:03:00.52,2026-01-01T08:05:29.43,r7,,,
e30,Control,position,2026-01-01T08:03:08.31,2026-01-01T08:03:10.33,r1,,,
e31,Control,align_camera,2026-01-01T08:03:10.33,2026-01-01T08:03:12.29,r1,,,
e32,Task,inspect,2026-01-01T08:03:12.29,2026-01-01T08:03:22.74,r1,m1,m1_s3,t7
e33,Control,navigate,2026-01-01T08:03:22.74,2026-01-01T08:03:33.10,r1,,,
e162,Control,navigate,2026-01-01T08:03:22.74,2026-01-01T08:04:06.51,r6,,,
e146,Control,position,2026-01-01T08:03:27.52,2026-01-01T08:03:29.18,r8,,,
e147,Control,align_gripper,2026-01-01T08:03:29.18,2026-01-01T08:03:31.49,r8,,,
e148,Control,grasp,2026-01-01T08:03:31.49,2026-01-01T08:03:34.14,r8,,,
e34,Control,position,2026-01-01T08:03:33.10,2026-01-01T08:03:35.10,r1,,,
e149,Task,harvest,2026-01-01T08:03:34.14,2026-01-01T08:03:59.99,r8,m1,m1_s2,t6
e35,Control,align_camera,2026-01-01T08:03:35.10,2026-01-01T08:03:37.02,r1,,,
e36,Task,survey_field,2026-01-01T08:03:37.02,2026-01-01T08:03:47.46,r1,m6,,t49
e42,Control,position,2026-01-01T08:03:44.92,2026-01-01T08:03:47.03,r5,,,
e43,Control,align_camera,2026-01-01T08:03:47.03,2026-01-01T08:03:49.10,r5,,,
e53,Control,navigate,2026-01-01T08:03:47.46,2026-01-01T08:05:10.35,r1,,,
e44,Task,inspect,2026-01-01T08:03:49.10,2026-01-01T08:03:59.64,r5,m2,m2_s1,t12
e155,Control,position,2026-01-01T08:03:54.28,2026-01-01T08:03:56.45,r2,,,
e156,Control,activate_sprayer,2026-01-01T08:03:56.45,2026-01-01T08:03:59.62,r2,,,
